Framework,Parameter,Embedding_time,Macro_recall,Macro_precision,Macro_f1,KNN_params_recall,KNN_params_precision,KNN_params_f1,NaN_count
DeepFace,VGG-Face_fastmtcnn,0.04,0.775655082558694,0.739887822307924,0.745260159207186,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0
DeepFace,ArcFace_fastmtcnn,0.07,0.870094594833058,0.846499202660609,0.849807404248957,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0
DeepFace,Facenet_fastmtcnn,0.14,0.81558723454273,0.785796226192684,0.790046439080767,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0
DeepFace,Facenet512_fastmtcnn,0.13,0.865211806237678,0.839400301520304,0.843608912857591,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0
DeepFace,Dlib_fastmtcnn,0.09,0.60860028942793,0.557299378618549,0.564337402689082,"{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}",0
DeepFace,SFace_fastmtcnn,0.03,0.668974825138126,0.622525259617277,0.628844142921222,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0
DeepFace,OpenFace_fastmtcnn,0.06,0.0496726362576863,0.040591663711388,0.0422465093397444,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0
DeepFace,DeepFace_fastmtcnn,0.77,0.117089734813858,0.0988991744730769,0.0999049960823856,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0
DeepFace,DeepID_fastmtcnn,0.03,0.0675696127466105,0.0554318362066457,0.056655573250465,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",0
DeepFace,VGG-Face_opencv,0.03,0.775570464453476,0.739136476866703,0.743954529730434,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141
DeepFace,VGG-Face_dlib,0.04,0.8202120800189325,0.7876440673998139,0.7926947861740533,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18
DeepFace,ArcFace_dlib,0.06,0.9479780559226118,0.9374932358903019,0.9387479158701447,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18
