,Framework,Parameter,Embedding_time,Rank-1 Accuracy,Macro_recall,Macro_precision,Macro_f1,KNN_params_recall,KNN_params_precision,KNN_params_f1,NaN_count,Framework_Parameter
0,Facenet-pytorch,vggface2,0.1,0.95184308253075,0.9466975308641976,0.9371172839506172,0.9356995884773665,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,Facenet-pytorch (vggface2)
1,Facenet-pytorch,casia-webface,0.1,0.9271449886507191,0.9168827160493828,0.9047063492063492,0.90218000106889,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",0,Facenet-pytorch (casia-webface)
0,Insightface,buffalo_sc,0.04,0.9719252208807608,0.974795386904762,0.9759477749433106,0.9720617618890992,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}",7,Insightface (buffalo_sc)
1,Insightface,buffalo_s,0.05,0.9719252208807608,0.974795386904762,0.9759477749433106,0.9720617618890992,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 3}",7,Insightface (buffalo_s)
2,Insightface,buffalo_m,0.16,0.9801611903285804,0.9801365611421478,0.9772004965859714,0.9765230114392126,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",8,Insightface (buffalo_m)
3,Insightface,buffalo_l,0.23,0.9813971418125168,0.982588454376164,0.9809093730602112,0.979020369243833,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'l2', 'n_neighbors': 1}","{'metric': 'l2', 'n_neighbors': 3}",7,Insightface (buffalo_l)
4,Insightface,antelopev2,0.45,0.9820172328121852,0.9827746741154564,0.981036623215394,0.9797032307646832,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",7,Insightface (antelopev2)
0,Face_recognition,hog,0.41,0.9714524677581085,0.9677579365079364,0.9621775793650794,0.960825007086168,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",17,Face_recognition (hog)
1,Face_recognition,cnn,0.47,0.9714524677581085,0.9677579365079364,0.9621775793650794,0.960825007086168,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",17,Face_recognition (cnn)
0,DeepFace,VGG-Face_opencv,0.03,0.8000843063973287,0.781389847845544,0.7567117832940617,0.7500000255466309,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,DeepFace (VGG-Face_opencv)
1,DeepFace,ArcFace_opencv,0.06,0.8922039816517415,0.8862357754762819,0.8762878940094131,0.8691019184114697,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,DeepFace (ArcFace_opencv)
2,DeepFace,Facenet_opencv,0.11,0.8232750656638409,0.8039572944636236,0.7816807313642756,0.7752057813047456,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,DeepFace (Facenet_opencv)
3,DeepFace,Facenet512_opencv,0.11,0.8720191271521919,0.8582981715893109,0.8371664200778124,0.832959104995929,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,DeepFace (Facenet512_opencv)
4,DeepFace,Dlib_opencv,0.08,0.7281483792592985,0.7091484464902186,0.6736442179480154,0.6674334445335596,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,DeepFace (Dlib_opencv)
5,DeepFace,SFace_opencv,0.02,0.8340115462147312,0.8185654008438817,0.7981788956472501,0.7904891702935432,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,DeepFace (SFace_opencv)
6,DeepFace,OpenFace_opencv,0.05,0.0753686192116798,0.0686293312875591,0.0586438664689527,0.058482488401936,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",141,DeepFace (OpenFace_opencv)
7,DeepFace,DeepID_opencv,0.02,0.0715054057881541,0.0704513489323615,0.0598059060659751,0.0589095216252868,"{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}","{'metric': 'cosine', 'n_neighbors': 3}",141,DeepFace (DeepID_opencv)
8,DeepFace,VGG-Face_dlib,0.04,0.8371611835298985,0.8165302579365079,0.7899633290816327,0.7860013828763828,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,DeepFace (VGG-Face_dlib)
9,DeepFace,ArcFace_dlib,0.07,0.9534450651769087,0.94562251984127,0.9378985969387754,0.9355562158575552,"{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}","{'metric': 'cosine', 'n_neighbors': 1}",18,DeepFace (ArcFace_dlib)
